STATE_ABBREV,rank_in_state,FIPS,COUNTY_NAME,influence_score,eigenvector_centrality
AK,1,2020,Anchorage Municipality,1.3333333333333333,1.4661765410739008e-23
AK,2,2122,Kenai Peninsula Borough,1.3333333333333333,1.4661765410739008e-23
AK,3,2170,Matanuska-Susitna Borough,1.3333333333333333,1.4661765410739008e-23
AK,4,2130,Ketchikan Gateway Borough,1.3333333333333333,1.4661765410739008e-23
AK,5,2110,Juneau City and Borough,1.3333333333333333,1.4661765410739008e-23
AK,6,2195,Petersburg Borough,1.0,1.7195583406852072e-18
AK,7,2150,Kodiak Island Borough,0.5,2.4318775284748826e-18
AL,1,1019,Cherokee County,9.40440115440115,1.0947979499294458e-09
AL,2,1017,Chambers County,9.31349206349206,1.0947979499294458e-09
AL,3,1097,Mobile County,9.31349206349206,1.0947979499294458e-09
AL,4,1095,Marshall County,9.215750915750911,1.4661765410739008e-23
AL,5,1033,Colbert County,9.215750915750911,1.4661765410739008e-23
AL,6,1059,Franklin County,9.215750915750911,1.4661765410739008e-23
AL,7,1039,Covington County,9.215750915750911,1.4661765410739008e-23
AL,8,1127,Walker County,9.215750915750911,1.4661765410739008e-23
AL,9,1093,Marion County,9.215750915750911,1.4661765410739008e-23
AL,10,1069,Houston County,9.061904761904758,2.0802785428689368e-10
AR,1,5031,Craighead County,12.8116165697048,1.4661765410739008e-23
AR,2,5063,Independence County,12.8116165697048,1.4661765410739008e-23
AR,3,5131,Sebastian County,12.752793040293035,2.1650506781609563e-08
AR,4,5051,Garland County,12.7491165697048,2.3407765303481037e-08
AR,5,5055,Greene County,12.690293040293035,1.4661765410739008e-23
AR,6,5107,Phillips County,12.690293040293035,1.4661765410739008e-23
AR,7,5009,Boone County,12.690293040293035,1.4661765410739008e-23
AR,8,5005,Baxter County,12.58084733893557,1.3790967326881694e-07
AR,9,5067,Jackson County,12.459523809523803,1.4661765410739008e-23
AR,10,5115,Pope County,12.459523809523803,1.4661765410739008e-23
AZ,1,4015,Mohave County,0.75,1.4661765410739008e-23
AZ,2,4007,Gila County,0.75,1.4661765410739008e-23
AZ,3,4019,Pima County,0.75,1.4661765410739008e-23
AZ,4,4009,Graham County,0.75,1.4661765410739008e-23
AZ,5,4025,Yavapai County,0.75,1.4661765410739008e-23
AZ,6,4013,,0.0,3.628786939157904e-22
AZ,7,4003,,0.0,3.628786939157904e-22
AZ,8,4012,,0.0,3.628786939157904e-22
CA,1,6049,Modoc County,4.05,1.4661765410739008e-23
CA,2,6045,Mendocino County,4.05,1.4661765410739008e-23
CA,3,6109,Tuolumne County,4.05,1.4661765410739008e-23
CA,4,6063,Plumas County,4.05,1.4661765410739008e-23
CA,5,6089,Shasta County,4.05,1.4661765410739008e-23
CA,6,6103,Tehama County,4.05,1.4661765410739008e-23
CA,7,6101,Sutter County,4.05,1.4661765410739008e-23
CA,8,6099,Stanislaus County,4.05,1.4661765410739008e-23
CA,9,6057,Nevada County,4.05,1.4661765410739008e-23
CA,10,6093,Siskiyou County,4.05,1.4661765410739008e-23
CO,1,8045,Garfield County,9.976190476190473,1.4661765410739008e-23
CO,2,8071,Las Animas County,9.976190476190473,1.4661765410739008e-23
CO,3,8077,Mesa County,9.976190476190473,1.4661765410739008e-23
CO,4,8081,Moffat County,9.976190476190473,1.4661765410739008e-23
CO,5,8085,Montrose County,9.976190476190473,1.4661765410739008e-23
CO,6,8089,Otero County,9.976190476190473,1.4661765410739008e-23
CO,7,8029,Delta County,9.976190476190473,1.4661765410739008e-23
CO,8,8003,Alamosa County,9.976190476190473,1.4661765410739008e-23
CO,9,8101,Pueblo County,9.976190476190473,1.4661765410739008e-23
CO,10,8015,Chaffee County,9.976190476190473,1.4661765410739008e-23
CT,1,9005,Litchfield County,1.3333333333333333,2.235919225137698e-22
CT,2,9011,New London County,1.0928571428571427,1.4661765410739008e-23
CT,3,9015,Windham County,1.0928571428571427,1.4661765410739008e-23
CT,4,9009,New Haven County,1.0928571428571427,1.4661765410739008e-23
CT,5,9003,,0.0,4.3252207961680075e-22
CT,6,9007,,0.0,3.1797878279366536e-21
DE,1,10005,Sussex County,0.375,1.4661765410739008e-23
DE,2,10001,,0.0,4.9483458261244163e-23
DE,3,10003,,0.0,8.430515111174927e-23
FL,1,12123,Taylor County,9.169780219780217,1.4661765410739008e-23
FL,2,12133,Washington County,9.169780219780217,1.4661765410739008e-23
FL,3,12005,Bay County,9.169780219780217,1.4661765410739008e-23
FL,4,12093,Okeechobee County,9.09285714285714,1.4661765410739008e-23
FL,5,12101,Pasco County,9.09285714285714,1.4661765410739008e-23
FL,6,12107,Putnam County,9.09285714285714,1.4661765410739008e-23
FL,7,12113,Santa Rosa County,9.09285714285714,1.4661765410739008e-23
FL,8,12131,Walton County,9.09285714285714,1.4661765410739008e-23
FL,9,12091,Okaloosa County,9.09285714285714,1.4661765410739008e-23
FL,10,12089,Nassau County,9.09285714285714,1.4661765410739008e-23
GA,1,13123,Gilmer County,14.646969696969702,4.9654728084794965e-05
GA,2,13087,Decatur County,14.283333333333337,4.9654728084794965e-05
GA,3,13115,Floyd County,13.396872979961213,1.4661765410739008e-23
GA,4,13277,Tift County,13.396872979961213,1.4661765410739008e-23
GA,5,13299,Ware County,13.396872979961213,1.4661765410739008e-23
GA,6,13005,Bacon County,13.338049450549446,1.4661765410739008e-23
GA,7,13069,Coffee County,13.338049450549446,1.4661765410739008e-23
GA,8,13105,Elbert County,13.275549450549446,1.4661765410739008e-23
GA,9,13257,Stephens County,13.275549450549446,1.4661765410739008e-23
GA,10,13043,Candler County,13.275549450549446,1.4661765410739008e-23
HI,1,15007,Kauai County,1.25,1.4661765410739008e-23
HI,2,15001,Hawaii County,0.3333333333333333,2.9323530821478e-22
HI,3,15009,,0.0,1.0128836271252196e-21
IA,1,19113,Linn County,10.033333333333337,1.0287180222809779e-10
IA,2,19073,Greene County,9.241017316017317,9.031555187417294e-11
IA,3,19039,Clarke County,9.241017316017317,9.031555187417294e-11
IA,4,19133,Monona County,7.884676434676434,1.4661765410739008e-23
IA,5,19057,Des Moines County,7.884676434676434,1.4661765410739008e-23
IA,6,19027,Carroll County,7.884676434676434,1.4661765410739008e-23
IA,7,19029,Cass County,7.884676434676434,1.4661765410739008e-23
IA,8,19111,Lee County,7.884676434676434,1.4661765410739008e-23
IA,9,19041,Clay County,7.884676434676434,1.4661765410739008e-23
IA,10,19007,Appanoose County,7.884676434676434,1.4661765410739008e-23
ID,1,16069,Nez Perce County,9.7656746031746,1.4661765410739008e-23
ID,2,16061,Lewis County,9.56031746031746,1.4661765410739008e-23
ID,3,16007,Bear Lake County,9.56031746031746,1.4661765410739008e-23
ID,4,16031,Cassia County,9.56031746031746,1.4661765410739008e-23
ID,5,16085,Valley County,9.56031746031746,1.4661765410739008e-23
ID,6,16021,Boundary County,8.388888888888888,2.317609076179333e-09
ID,7,16083,Twin Falls County,7.726984126984126,3.5244634726086232e-09
ID,8,16041,Franklin County,6.0,1.4661765410739008e-23
ID,9,16079,Shoshone County,5.566666666666668,1.3252114816748662e-09
ID,10,16045,Gem County,5.566666666666668,1.3252114816748662e-09
IL,1,17055,Franklin County,10.92063492063492,1.662038296031188e-14
IL,2,17083,Jersey County,10.92063492063492,1.662038296031188e-14
IL,3,17081,Jefferson County,10.705769230769224,1.4661765410739008e-23
IL,4,17001,Adams County,10.705769230769224,1.4661765410739008e-23
IL,5,17165,Saline County,10.705769230769224,1.4661765410739008e-23
IL,6,17199,Williamson County,10.705769230769224,1.4661765410739008e-23
IL,7,17069,Hardin County,10.705769230769224,1.4661765410739008e-23
IL,8,17021,Christian County,10.67063492063492,1.662038296031188e-14
IL,9,17135,Montgomery County,10.639102564102558,1.4661765410739008e-23
IL,10,17121,Marion County,10.639102564102558,1.4661765410739008e-23
IN,1,18163,Vanderburgh County,12.139560439560436,1.4661765410739008e-23
IN,2,18143,Scott County,12.139560439560436,1.4661765410739008e-23
IN,3,18043,Floyd County,11.985714285714282,5.751923353443764e-23
IN,4,18109,Morgan County,11.919047619047616,1.4661765410739008e-23
IN,5,18177,Wayne County,11.919047619047616,1.4661765410739008e-23
IN,6,18167,Vigo County,11.919047619047616,1.4661765410739008e-23
IN,7,18149,Starke County,11.919047619047616,1.4661765410739008e-23
IN,8,18117,Orange County,11.919047619047616,1.4661765410739008e-23
IN,9,18041,Fayette County,11.919047619047616,1.4661765410739008e-23
IN,10,18095,Madison County,11.919047619047616,1.4661765410739008e-23
KS,1,20071,Greeley County,9.371329079417311,1.4661765410739008e-23
KS,2,20151,Pratt County,9.312505550005548,1.4661765410739008e-23
KS,3,20129,Morton County,9.250005550005548,1.4661765410739008e-23
KS,4,20195,Trego County,9.250005550005548,1.4661765410739008e-23
KS,5,20183,Smith County,9.179172216672214,1.163967690705462e-09
KS,6,20001,Allen County,9.17023809523809,2.1574684046904497e-08
KS,7,20125,Montgomery County,9.116672216672214,1.4661765410739008e-23
KS,8,20009,Barton County,9.116672216672214,1.4661765410739008e-23
KS,9,20169,Saline County,9.116672216672214,1.4661765410739008e-23
KS,10,20205,Wilson County,8.832867540955776,1.8329306473197574e-09
KY,1,21193,Perry County,18.399133627810095,1.4661765410739008e-23
KY,2,21145,Mccracken County,18.399133627810095,1.4661765410739008e-23
KY,3,21195,Pike County,18.336633627810095,1.304155197844657e-10
KY,4,21013,Bell County,18.21898656898657,1.4661765410739008e-23
KY,5,21235,Whitley County,18.21898656898657,1.4661765410739008e-23
KY,6,21071,Floyd County,18.21898656898657,1.4661765410739008e-23
KY,7,21051,Clay County,18.147557997557996,2.762453835520867e-10
KY,8,21131,Leslie County,18.147557997557996,1.4661765410739008e-23
KY,9,21025,Breathitt County,18.147557997557996,1.4661765410739008e-23
KY,10,21115,Johnson County,18.147557997557996,1.4661765410739008e-23
LA,1,22079,Rapides Parish,8.313827838827837,1.4661765410739008e-23
LA,2,22039,Evangeline Parish,8.24716117216117,1.4661765410739008e-23
LA,3,22117,Washington Parish,8.24716117216117,1.4661765410739008e-23
LA,4,22097,St. Landry Parish,8.24716117216117,1.4661765410739008e-23
LA,5,22073,Ouachita Parish,8.170238095238092,1.4661765410739008e-23
LA,6,22009,Avoyelles Parish,8.170238095238092,1.4661765410739008e-23
LA,7,22105,Tangipahoa Parish,8.170238095238092,1.4661765410739008e-23
LA,8,22051,Jefferson Parish,8.170238095238092,1.4661765410739008e-23
LA,9,22019,Calcasieu Parish,8.170238095238092,1.4661765410739008e-23
LA,10,22017,Caddo Parish,7.736904761904761,1.4476584042026706e-10
MA,1,25001,Barnstable County,2.0,1.4661765410739008e-23
MA,2,25003,Berkshire County,2.0,1.4661765410739008e-23
MA,3,25027,Worcester County,2.0,1.4661765410739008e-23
MA,4,25013,Hampden County,2.0,1.4661765410739008e-23
MA,5,25005,Bristol County,2.0,1.4661765410739008e-23
MA,6,25023,Plymouth County,1.7,1.407529479430945e-21
MA,7,25007,Dukes County,1.25,1.3525478591406743e-20
MA,8,25015,,0.0,1.097935306459133e-19
MD,1,24001,Allegany County,4.298351648351648,1.4661765410739008e-23
MD,2,24043,Washington County,4.298351648351648,1.4661765410739008e-23
MD,3,24029,Kent County,4.2214285714285715,5.751923353443764e-23
MD,4,24047,Worcester County,4.15,1.4661765410739008e-23
MD,5,24015,Cecil County,4.15,1.4661765410739008e-23
MD,6,24025,Harford County,2.0,1.4477417878444148e-19
MD,7,24045,Wicomico County,1.8333333333333333,1.7932466925442333e-21
MD,8,24041,Talbot County,1.8333333333333333,1.880492252653191e-21
MD,9,24009,Calvert County,1.8333333333333333,1.7932466925442333e-21
MD,10,24017,Charles County,1.1666666666666663,4.6597668368148017e-20
ME,1,23001,Androscoggin County,3.608333333333334,1.4661765410739008e-23
ME,2,23011,Kennebec County,3.608333333333334,1.4661765410739008e-23
ME,3,23019,Penobscot County,3.608333333333334,1.4661765410739008e-23
ME,4,23021,Piscataquis County,3.608333333333334,1.4661765410739008e-23
ME,5,23025,Somerset County,3.3333333333333335,3.8700368197750975e-14
ME,6,23013,Knox County,3.166666666666667,3.8700368197750975e-14
ME,7,23007,Franklin County,3.0833333333333335,1.4661765410739008e-23
ME,8,23003,Aroostook County,2.733333333333334,3.0767423521315304e-14
ME,9,23009,Hancock County,2.5,6.206784232876464e-14
ME,10,23017,Oxford County,2.2750000000000004,4.3799515443483836e-14
MI,1,26149,Saint Joseph County,14.81904761904762,1.1495400948883787e-07
MI,2,26043,Dickinson County,14.81904761904762,1.1495400948883787e-07
MI,3,26117,Montcalm County,10.416666666666668,6.193807200456108e-08
MI,4,26101,Manistee County,10.416666666666668,6.193807200456108e-08
MI,5,26123,Newaygo County,9.998412698412691,5.3692522085376556e-08
MI,6,26069,Iosco County,8.935256410256407,1.4661765410739008e-23
MI,7,26129,Ogemaw County,8.935256410256407,1.4661765410739008e-23
MI,8,26137,Otsego County,8.935256410256407,1.4661765410739008e-23
MI,9,26143,Roscommon County,8.935256410256407,1.4661765410739008e-23
MI,10,26007,Alpena County,8.85833333333333,1.4661765410739008e-23
MN,1,27163,Washington County,13.269047619047615,1.4304381008560812e-06
MN,2,27057,Hubbard County,10.833333333333336,2.058574792417444e-06
MN,3,27091,Martin County,10.55787545787545,1.4661765410739008e-23
MN,4,27159,Wadena County,10.55787545787545,1.4661765410739008e-23
MN,5,27011,Big Stone County,10.55787545787545,1.4661765410739008e-23
MN,6,27117,Pipestone County,10.55787545787545,1.4661765410739008e-23
MN,7,27085,Mcleod County,10.480952380952374,1.4661765410739008e-23
MN,8,27001,Aitkin County,10.480952380952374,1.4661765410739008e-23
MN,9,27013,Blue Earth County,10.480952380952374,1.4661765410739008e-23
MN,10,27071,Koochiching County,10.480952380952374,1.4661765410739008e-23
MO,1,29113,Lincoln County,10.583333333333336,4.5630263266013926e-08
MO,2,29091,Howell County,9.03882783882784,1.4661765410739008e-23
MO,3,29097,Jasper County,9.03882783882784,1.4661765410739008e-23
MO,4,29023,Butler County,9.03882783882784,1.4661765410739008e-23
MO,5,29187,Saint Francois County,9.03882783882784,1.4661765410739008e-23
MO,6,29031,Cape Girardeau County,9.020728291316528,8.400741223919435e-09
MO,7,29069,Dunklin County,8.972161172161172,1.4661765410739008e-23
MO,8,29083,Henry County,8.972161172161172,1.4661765410739008e-23
MO,9,29123,Madison County,8.972161172161172,1.4661765410739008e-23
MO,10,29127,Marion County,8.972161172161172,1.0831316290045296e-10
MS,1,28035,Forrest County,10.816241111829344,1.4661765410739008e-23
MS,2,28075,Lauderdale County,10.66239495798319,8.169879853826801e-11
MS,3,28003,Alcorn County,10.490750915750914,3.759483031977767e-12
MS,4,28091,Marion County,10.490750915750914,1.4661765410739008e-23
MS,5,28081,Lee County,10.395728291316525,8.299020568757566e-11
MS,6,28067,Jones County,10.395728291316525,1.29140714932231e-12
MS,7,28141,Tishomingo County,10.33690476190476,1.4661765410739008e-23
MS,8,28099,Neshoba County,10.33690476190476,1.4661765410739008e-23
MS,9,28001,Adams County,10.33690476190476,1.4661765410739008e-23
MS,10,28039,George County,10.33690476190476,1.4661765410739008e-23
MT,1,30053,Lincoln County,6.757081807081807,1.4661765410739008e-23
MT,2,30017,Custer County,6.757081807081807,1.4661765410739008e-23
MT,3,30093,Silver Bow County,6.68015873015873,1.4661765410739008e-23
MT,4,30049,Lewis And Clark County,6.68015873015873,1.4661765410739008e-23
MT,5,30029,Flathead County,6.68015873015873,1.4661765410739008e-23
